year,numCandidates,africanAmerican,female,hs_pct,poverty,unemp,voter_turnout
2006,2,1,1,0.28,0.46,0.13,36.85
2010,2,1,1,0.28,0.46,0.13,30.87
1998,2,0,1,0.29,0.34,0.13,39.24
2002,2,1,0,0.29,0.34,0.13,21.66
2006,2,0,0,0.29,0.34,0.13,25.87
1991,2,0,0,0.44,0.16,0.1,80.88
2002,2,0,0,0.44,0.16,0.1,51.76
2006,2,0,1,0.44,0.16,0.1,45.12
1988,3,0,0,0.32,0.32,0.11,74.39
2000,3,0,1,0.32,0.32,0.11,60.04
2008,2,0,1,0.32,0.32,0.11,54.11
1992,2,1,1,0.17,0.48,0.19,74.25
1997,2,1,1,0.17,0.48,0.19,70.21
2001,2,1,0,0.17,0.48,0.19,55.99
2005,2,1,0,0.17,0.48,0.19,56.34
1990,2,0,0,0.4,0.12,0.06,82.55
2002,2,0,0,0.4,0.12,0.06,52.55
2006,3,0,0,0.4,0.12,0.06,65.31
1990,2,0,0,0.27,0.38,0.11,71.5
1994,3,0,1,0.27,0.38,0.11,70.24
1998,2,0,0,0.27,0.38,0.11,47.5
2006,2,0,0,0.27,0.38,0.11,55.48
2010,2,0,0,0.27,0.38,0.11,46.36
1992,2,1,1,0.27,0.57,0.14,55.24
1996,2,1,0,0.27,0.57,0.14,69.08
2000,2,1,0,0.27,0.57,0.14,66.03
2004,2,1,0,0.27,0.57,0.14,57
2008,2,1,0,0.27,0.57,0.14,56.05
1990,4,0,0,0.37,0.38,0.13,78.35
1994,3,0,1,0.37,0.38,0.13,66.58
2002,3,0,1,0.37,0.38,0.13,71.24
2004,2,0,1,0.37,0.38,0.13,41.03
1992,3,1,0,0.25,0.58,0.29,68.17
1988,2,0,0,0.29,0.36,0.12,58.16
1992,2,0,0,0.29,0.36,0.12,58.24
1996,2,0,0,0.29,0.36,0.12,66.09
2000,3,1,0,0.29,0.36,0.12,47.86
2004,3,1,0,0.29,0.36,0.12,55.69
2008,2,1,0,0.29,0.36,0.12,65.66
1994,2,0,1,0.29,0.45,0.18,42.3
2002,4,0,1,0.29,0.45,0.18,53.93
2006,2,1,0,0.29,0.45,0.18,40.13
1990,2,0,0,0.27,0.49,0.16,69.86
1998,2,0,0,0.27,0.49,0.16,54.42
2006,2,0,0,0.27,0.49,0.16,33.22
2005,3,0,0,0.15,0.23,0.12,28.19
1992,2,0,0,0.39,0.34,0.13,78.86
2000,2,0,1,0.39,0.34,0.13,55.91
1988,2,0,0,0.22,0.47,0.18,71.08
1992,2,0,0,0.22,0.47,0.18,65.56
2000,3,0,0,0.22,0.47,0.18,62.61
2004,2,0,0,0.22,0.47,0.18,53.72
2008,2,0,0,0.22,0.47,0.18,56.35
1992,3,0,0,0.32,0.34,0.15,68.49
2000,2,0,0,0.32,0.34,0.15,59
2004,2,0,0,0.32,0.34,0.15,58.09
2008,3,1,1,0.32,0.34,0.15,43.14
1988,3,0,0,0.27,0.42,0.08,52.74
1992,3,1,0,0.27,0.42,0.08,72.65
1994,2,1,1,0.27,0.42,0.08,75.6
1996,3,0,1,0.27,0.42,0.08,61.42
